id,name,country,type 
1,FlorianMueller,Deutschland ,1
Mainz,Mainz05,Deutschland ,2
42,FlorianSchock,Deutschland ,1
Stuttgart,VfBStuttgart2,Deutschland ,2
37,HirokiIto,Japan,1
Iwata,JubiloIwata,Japan,2
32,NaouirouAhamada,Frankreich,1
Turin,JuventusTurin,Italien,2
8,EnzoMillot,Frankreich,1
Monaco,ASMonaco,Frankreich ,2
28,NikolasNartey,Daenemark,1
Sandhausen,SVSandhausen,Deutschland ,2
34,OemerBeyaz,Tuerkei,1
Istanbul,FenerbahceIstanbul,Tuerkei,2
22,ChrisFuehrich,Deutschland ,1
Paderborn,SCPaderborn,Deutschland ,2
18,TiagoTomas,Portugal,1
Lissabon,SportingLissabon,Portugal,2
17,OmarMarmoush,Aegypten ,1
Wolfsburg,VFLWolfsburg,Deutschland ,2
19,WahidFaghir,Daenemark,1
Vejle,VejleBoldklub,Daenemark,2
50,AlexisTibidi,Frankreich,1
Stuttgart,VfBStuttgartU19,Deutschland ,2
44,MohamedSankoh,Niederlande,1
Stuttgart,VfBStuttgart2,Deutschland ,2
33,FabianBredlow,Deutschland ,1
Nuernberg,FCNuernberg,Deutschland ,2
5,KonstantinosMavropanos,Griechenland,1
London,FCArsenal,England,2
2,WaldemarAnton,Deutschland ,1
Hannover,Hannover96,Deutschland ,2
24,BornaSosa,Kroatien,1
Zagreb,DinamoZagreb,Kroatien,2
15,PascalStenzel,Deutschland ,1
Freiburg,SCFreiburg,Deutschland ,2
23,OrelMangala,Belgien,1
Hamburg,HamburgerSV,Deutschland ,2
3,WaturoEndo,Japan,1
Truiden,VVSt.Truiden,Belgien,2
16,AtakanKarazor,Deutschland ,1
Kiel,HolsteinKiel,Deutschland ,2
6,ClintonMola,England,1
London,ChelseaU23,England,2
14,SilasKatompaMvumpa,Kongo,1
Paris,ParisFC,Frankreich,2
30,RobertoMassimo,Deutschland ,1
Bielefeld,ArminiaBielefeld,Deutschland ,2
11,ErikThommy,Deutschland ,1
Duesseldorf,FortunaDuesseldorf,Deutschland ,2
20,PhilippFoerster,Deutschland ,1
Sandhausen,SVSandhausen,Deutschland ,2
31,MateoKlimowicz,Deutschland ,1
Cordoba,InstitutoACCordoba,Argentinien,2
25,LilianEgloff,Deutschland ,1
Stuttgart,VfBStuttgartU19,Deutschland ,2
10,DanielDidavi,Deutschland ,1
Wolfsburg,VFLWolfsburg,Deutschland ,2
7,TanguyCoulibaly,Frankreich,1
Paris,ParisSGU19,Frankreich,2
9,SasaKalajdzic,Oesterreich,1
MariaEnzersdorf,AdmiraWacker,Oesterreich,2
Komoren,,,
Martinique,,,
Ghana,,,
Kanada,,,
Afghanistan,,,
Kamerun,,,
SierraLeone,,,
Usbekistan,,,
Kongo,,,
Italien,,,
Argentinien,,,
Benin,,,
Elfenbeinkueste,,,
Serbien,,,
